багор,багоръ
брыкать,брыкать
брюзжать,брюзжать
брюхо,брюхо
брюхоногий,брюхоногiй
будешь,будешь
буднишний,буднишнiй
будочник,будочникъ
будто,будто
будучи,будучи
будущий,будущiй
будьте,будьте
буерак,буеракъ
буквенный,буквенный
букет,букетъ
бульон,бульонъ
бумага,бумага
бургомистр,бургомистръ
бутерброд,бутербротъ
буфет,буфетъ
Бухарест,Бухарестъ
бухгалтер,бухгалтеръ
бы,бы - частица
бывало,бывало - пишется черезъ дефисъ (пойдетъ-бывало)
бывшаго,бывшаго
быстрее,быстрѣе
быть может,быть-можетъ
бюллетень,бюллетень
абажур,абажуръ
аббат,аббатъ
абитуриент,абитурiентъ
абонемент,абонементъ
абрек,абрекъ
Аввакум,Аввакумъ
Авдей,Авдей
абрек,автобiографiя
автограф,автографъ
авторитетный,авторитетный
Агафон,Агаѳонъ
Агафья,Агаѳья
Аггей,Аггей
Аграфена,Аграфена
Агегат,Аггрегатъ
адрес,адресъ
адъюнкт,адъюнктъ
адъютант,адъютантъ
аз,азъ (первая буква русской азбуки)
азбука,азбука
азиатец,азiатецъ
академик,академикъ
академия,академія
акафист,акаѳистъ
Аким,Акимъ
акклиматизация,акклиматизацiя
аккомпанировать,аккомпанировать
аккорд,аккордъ
аккредитовать,аккредитовать
аккумулятор,аккумуляторъ
аккуратно,аккуратно
аксельбант,аксельбантъ и эксельбантъ
аксессуар,аксессуаръ
акт,актъ
алгебраический,алгебраическiй и алгебрическiй
Алексей,Алексѣй
алеть,алѣть
аллах,аллахъ
аллебарда,аллебарда
аллегория,аллегорiя
аллегретто,аллегретто
аллея,аллея
аллилуия,аллилуiя
аллюр,аллюръ
алоэ,алоэ
алтарь,алтарь и олтарь
алфавит,алфавитъ
алюминий,алюминiй
амбар,амбаръ
аммиак,аммiакъ
Амстердам,Амстердамъ
амуниция,амуницiя
амфибия,амфибiя
амфитеатр,амфитеатръ
аналогичный,аналогичный
аналогия,аналогія
анафема,анаѳема
ангел,ангелъ
английский,англiйскiй
Андрей,Андрей
Андриан,Адрiанъ
апелляция,апелляцiя
апостол,апостолъ
апофеоз,апоѳеозъ
аппарат,аппаратъ
аппетит,аппетитъ
апрель,апрѣль
араб,арабъ (житель аравiи)
арамейский,арамейскій
арап (негр),арапъ (негр)
аргумент,аргументъ
арендовать,арендовать
арест,арестъ
арифметика,ариѳметика
армеец,армеецъ
армия,армiя
Арсений,Арсенiй
артель,артель
артиллерия,артиллерiя
артишок,артишокъ
арфа,арфа
архаизм,архаизмъ
археологический,археологическiй
архиепископ,архiепископъ
архиерей,архiерей
архимандрит,архимандритъ
арьергард,арьергардъ и арiергардъ
асессор,асессоръ
ассамблея,ассамблея
ассенизация,ассенизацiя
ассигнация,ассигнацiя
ассимиляция,ассимиляцiя
Ассирия,Ассирiя
ассистент,ассистентъ
ассортимент,ассортиментъ
ассоциация,ассоцiацiя
асфальт,асфальтъ
атмосфера,атмосфера
атобиография,автобiографiя
атрибут,атрибутъ
аттестат,аттестатъ
аудиенция,аудiенцiя
аудитор,аудиторъ и авдиторъ
аукцион,аукцiонъ
Афанасий,Аѳанасiй
афера,афера
Афина,Аѳина
Афины,Аѳины
афиша,афиша
Афон,Аѳонъ
афонский,аѳонскiй
афоризм,афоризмъ
Африка,Африка
аэростат,аэростатъ
вагон,вагонъ
важнейший,важнѣе
вазелин,вазелинъ
вакансия,вакансiя (свободное мѣсто)
вакация,вакацiя (свободное время)
валежник,валежникъ
Валентин,Валентинъ
валериана,валерiана
вальдшнеп,вальдшнепъ
Ванечка,Ванечка (а не Ваничка)
варево,варево и вариво
варежка,варежка
вареник,вареникъ
варёный,варёный
варенье,варенье
вариант,варiантъ
вариация,варiацiя
Варфоломей,Варѳоломей
Василий,Василій
ватерпас,ватерпасъ
Ватикан,Ватиканъ
ватрушка,ватрушка и вотрушка
ватрушка,вотрушка (ватрушка)
ваш,вашъ
