багор,багоръ
закругление,закругленіе
зал,зала и зало (въ домѣ)
залезть,залѣзть
залететь,залететь
залишек,залишекъ
залишнее,залишнее
заматерелый,заматерѣлый и заматорѣлый
замена,замѣна
заменить,замѣнить
замёрзший (замерзать),замёрзшiй (замерзать)
замертво,замертво
замерший (замереть),замершiй (замереть)
замес,замѣсъ
заместитель,замѣститель
заметить,замѣтить
замечание,замѣчаніе
замечательно,замѣчательно
замечать,замѣчать
замешанный,замешанный (отъ замѣшать - онъ замѣшанъ въ этомъ дѣлѣ)
замешенный,замешенный (отъ замѣсить - замешанное тѣсто)
замешкаться,замѣшкаться
замораживать,замораживать
замужем,замужемъ
замужество,замужество и замужство
замшевый,замшевый
занавес,занавѣсъ (м.р.)
занесенный,занесенный
занимательно,занимательно
заново,заново
заносчивый,заносчивый
занятия,занятія
заодно,заодно (нарѣчiе)
заострённый,заострённый
заочно,заочно
западноевропейский,западно-европейскій
западня,западня
запальчивый,запальчивый
запанибрата,запанибрата
запасливый,запасливый
запах,запахъ
запевала,запѣвала и запѣвало
запер,заперъ (запор)
запереть,запереть
запеть,запѣть
запечатлеть,запечатлѣть
заплатишь,заплатишь
заплеснеть,заплѣснѣть
заплести,заплести
заповедь,заповѣдь
заподлинно,заподлинно
заподозрен,заподозрѣнъ
запонка,запонка
запросто,запросто
запрячь,запрячь
зарабатывать,зарабатывать и заработывать
зараз,за разъ
заране,заранѣ
зарасти,зарастать
зародыш,зародышъ
зарождаться,зарождаться и зараждаться
зарождение,зарожденіе
заросль,заросль
заря,заря
засветло,засвѣтло
засечь,засѣчь
заскорузлый,заскорузлый
засмеяться,засмѣяться
заставлять,заставлять
застенок,застѣнокъ
застенчивый,застѣнчивый
застревать,застревать и застрявать
застрелен,застрѣленъ
застреха,застрѣха
засчитать,засчитать
затевать,затѣвать
затейливый,затѣйливый
за тем,за тѣмъ
затем,затѣмъ (нарѣчiе)
затемнение,затемненiе (отъ затемнить)
затея,затѣя
затмение,затменiе
зато,зато (союзъ) но за то
затруднение,затрудненіе
затрясся,затрясся
затхлый,затхлый и задхлый
за упокой,заупокой
заутреня,заутреня
захерить,захѣрить
захолустье,захолустье
захотеть,захотѣть
зацвести,зацвѣсти и зацвѣсть
зачастую,зачастую
за чем,за чѣмъ
зачем,зачѣмъ (нарѣчiе)
зачинщик,зачинщикъ
зашевелиться,зашевелиться
зашёл,зашёлъ
защитник,защитникъ
заяц,заяцъ
звание,званіе
званый (созванный),званый (созванный)
звезда,звѣзда
звенеть,звенѣть (звонъ)
звено,звено
зверёк,звѣрёкъ и звѣрокъ
зверский,звѣрскiй
зверь,звѣрь
звонкий,звонкій
здание,зданіе
здесь,здѣсь
здешний,здѣшній
здоровье,здоровье
здравие,здравiе
здравомыслящий,здравомыслящiй
здравствовать,здравствовать
зев,зѣвъ
зевать,зѣвать
зеленной (от зелень),зеленной (отъ зелень)
зелёный,зелёный
зелень,зелень
зело,зѣло
зелье,зелье
зельно,зѣльно
земле,земля
землеведение,землевѣдѣнiе
землевладелец,землевладѣлецъ
землетрясение,землетрясенiе
земляника,земляника
землянистый,землянистый
земной,земной
зенит,зенитъ
зеница,зѣница
зеркало,зеркало
зерно,зерно
зефир,зефиръ
зигзагообразный,зигзагообразный
зиждитель,зиждитель
зима,зима
зипун,зипунъ
злее,злѣе
злодей,злодѣй
злонамеренный,злонамѣренный
злоумышленник,злоумышленникъ
змей,змѣй
знавший,знавшій
знает,знаетъ
знаешь ли,знаешь-ли
знамение,знаменiе
знаменитый,знаменитый
знамя,знамя
знание,знанiе
знахарь,знахарь
значащий,значащiй
значение,значенiе
значительный,значительный
значить,значить
знающий,знающiй
зной,зной
зодчий,зодчiй
золовка,золовка
золотой,золотой
золочёный,золочёный (прилаг.)
зрачок,зрачокъ
зрелище,зрѣлище
зрелость,зрѣлость
зрелый,зрѣлый
зрение,зрѣнiе
зреть,зрѣть
зрячий,зрячій
зыбкий,зыбкiй
Иван,Иванъ
Иверия,Иверiя
идиллия,идиллiя
идти,идти и итти (используется в словаре Ушакова (ок. 1937)
иезуит,iезуитъ и езуитъ
иезуит,iезуитъ
иерархия,iерархiя
иерей,iерей
иероглиф,гіероглифъ
иероглиф,iероглифъ
Иерусалим,Iерусалимъ и Ерусалимъ
иждивение,иждивенiе
ижица,ижица
известие,извѣстiе
известись,известись
известный,извѣстный
известь,известь
извинение,извиненіе
извините,извините
извне,извнѣ
извозчик,извозчикъ
издавна,издавна
издалека,издалека
издали,издали
издан,изданъ
издание,изданіе
изданный,изданный
издеваться,издѣваться
издевка,издѣвка
издетства,издѣтства
изжарить,изжарить
из-за,изъ-за
иззябнуть,иззябнуть
излагать,излагать
изложение,изложеніе
измена,измѣна
изменение,измѣненiе
измененный,измѣненный
измерениие,измѣрениiе
изможденный,изможденный
изморось,изморось
измученный,измученный
измышленный,измышленный
изнеможение,изнеможеніе
изнова,изнова
изнутри,изнутри
изобидеть,изобидѣть
изобилие,изобиліе
изобилующий,изобилующiй
изображать,изображать
изображение,изображеніе
изображенный,изображенный
изобрести,изобрѣсти
изобретатель,изобрѣтатель
изобретать,изобрѣтать
изобретен,изобрѣтенъ
изобретение,изобрѣтеніе
изобретенный,изобрѣтенный
из-под,изъ-подъ
изподлобья,изъ подлобья
изредка,изрѣдка
изрекать,изрекать
изречение,изреченiе
изследование,изслѣдованіе
изследователь,изслѣдователь
изсохнуть,изсохнуть
изстари,изстари
изуродовать,изуродовать
изучение,изученіе
изъян,изъянъ
изъятый,изъятый
изящный,изящный
Иисус,Iисусъ
иллюминация,иллюминацiя
иллюстрация,иллюстрацiя
имевший,имѣвшiй
имеется,имѣется
имение,имѣнiе
именинник,именинникъ
именины,именины
именно,именно
иметь,имѣть
империя,имперія
имя,имя
иначе,иначе
инде,индѣ 
индеец,индѣецъ (туземецъ Америки)
индиец,индiец (туземецъ Индiи)
индоевропейский,индо-европейскiй
иней,иней
инженер,инженеръ
Иннокентия,Иннокентія
иное,иное
иноземец,иноземецъ
иностранный,иностранный
иноязычный,иноязычный
интеллигенция,интеллигенцiя
интерес,интересъ
интерес,интересъ
Иоанн,Iоаннъ
Иов,Iовъ
Иордан,Iорданъ (рѣка)
Иосиф,Iосифъ
ипостась,ипостась и &#1141;постась
Исаак,Исаакъ
исключение,исключенiе
исконно,исконно
искренний,искреннiй
искусно,искусно
искусный,искусный
искусство,искусство
исповедание,исповѣданіе
исповедать,исповѣдать
исповедь,исповѣдь
исподлобья,исподлобья
исподтишка,исподтишка
истерзанный,истерзанный
истина (сущ.),истина (сущ.)
истинна (кратк. прил. женск. р.),истинна (кратк. прил. женск. р.)
исторический,историческій
история,исторія
источник,источникъ
исходатайствовать,исходатайствовать
исходить,исходить
исцелять,исцѣлять
исчезать,исчезать
исчерпать,исчерпать
исчисление,исчисленіе
итак,итакъ
итальянский,италiанскiй
иудей,iудей
Иудея,Iудея
ищу,ищу
июль,iюль
июнь,iюнь
йод,iодъ
кабак,кабакъ
кабала,кабала
кабан,кабанъ
кабатчик,кабатчикъ
кабацкий,кабацкiй
кабинет,кабинетъ
каблучок,каблучокъ
кабриолет,кабрiолетъ
кабы,кабы
кавалерия,кавалерiя
кавардак,кавардакъ
кавычка,кавычка и ковычка
кадет,кадетъ
каждый,каждый
казак,казакъ и козакъ
казачок,казачокъ
казённый,казённый
Казимир,Казимиръ
кайма,кайма
каймлю,каймю
какао,какао
как-будто,какъ-будто
как же,какъ-же
как-нибудь,какъ-нибудь
какой,какой
какой-либо,какой-либо
какой-нибудь,какой-нибудь
какой-то,какой-то
какофония,какофонiя
как раз,какъ-разъ
как-то,какъ-то
каламбур,каламбуръ
калач,калачъ и колачъ
калейдоскоп,калейдоскопъ
калека,калѣка
календарь,календарь
калёный,калёный
калечить,калѣчить
калика,калика (странникъ)
каллиграфия,каллиграфiя
калоша,калоша
кальян,кальянъ
каменный,каменный
каменщик,каменщикъ
камень,камень
камергер,камергеръ
камердинер,камердинеръ
камертон,камертонъ
камер-юнкер,камеръюнкеръ
камешек,камешекъ
камней,камней
кампания,кампанiя (походъ)
камфора,камфора и камфара
камыш,камышъ
канава,канава
канапе,канапе
канат,канатъ
канва,канва
кандалы,кандалы
канделябр,канделябръ и канделабръ
канитель,канитель
канонада,канонада
каноник,каноникъ (римско-католическiй соборный священникъ)
канун,канунъ
канцелярия,канцелярiя
канючить,канючить
капелла,капелла
капиллярный,капиллярный
капитал,капиталъ
капитан,капитанъ
Капитолина,Капитолина и Капетолина
капитуляция,капитуляцiя
капкан,капканъ
капор,капоръ
капот,капотъ
капрал,капралъ
каприз,капризъ
капуста,капуста
капюшон,капюшонъ
карабкаться,карабкаться
каравай,коровай
караван,караванъ
каракатица,корокатица
каракуль,каракуль и каракуля
карамель,карамель
карандаш,карандашъ
карантин,карантинъ
карась,карась
карать,карать
караул,караулъ
карбункул,карбункулъ
карга,карга и корга
каре,карре
карета,карета
карикатура,карикатура
карикатура,карикатура
карман,карманъ
карнавал,карнавалъ
картечь,картечь
картина,картина
картон,картонъ
картофель,картофель
картуз,картузъ
карусель,карусель
Карфаген,Карѳагенъ
карьер,карьеръ
карьера,карьера
касатка,касатка и косатка
касаться,касаться
касса,касса
кассация,кассацiя
кастрюля,кастрюля
Касьян,Касьянъ и Кассiанъ
катавасия,катавасiя
катакомбы,катакомбы
катастрофа,катастрофа
катафалк,катафалкъ
Катенька,Катенька
катехизис,катехизисъ и катихизисъ
католический,католическiй
каторга,каторга
кафе,кафе и кафэ
кафедра,каѳедра
кафизма,каѳизма
кафтан,кафтанъ
качаться,качаться
качество,качество
кашевар,кашеваръ
каяться,каяться
квалификация,квалификацiя
квартира,квартира
кверху,кверху (нарѣчiе)
кедр,кедръ
келья,келья и келлiя
кем,кѣмъ
керосин,керосинъ
кефир,кефиръ
киевский,кіевскій
киноварь,киноварь
киот,кiотъ и кивотъ
кипяток,кипятокъ
Кирилл,Кириллъ
кириллица,кириллица
кисет,кисетъ
класс,классъ
классификация,классификацiя
классицизм,классицизмъ
клевать,клевать
клевер,клеверъ
клевета,клевета
клеёнка,клеёнка
клеймить,клеймить
клетка,клѣтка
клецки,клецки
клешня,клешня
клею,клею
клиент,клiэнтъ
Климент,Климентъ
клинышек,клинышекъ
клирос,клиросъ и крылосъ
клобук,клобукъ
клюквенный,клюквенный
ключник,ключникъ
ключом,ключомъ
книжечка,книжечка
книзу,книзу (нарѣчiе)
коверкать,коверкать
коврига,коврига
ковчег,ковчегъ
ковыль,ковыль и кавыль
ковылять,ковылять
ковырять,ковырять
когда-либо,когда-либо
когда-то,когда-то
кого-то,кого-то
кодекс,кодексъ
кое-как,кое-какъ
кожаный,кожаный
кожевенный,кожевенный
кокарда,кокарда
колбаса,колбаса и калбаса
колдун,колдунъ
колеблю,колеблю
колено,колѣно
коленчатый,колѣнчатый
колесо,колесо
колея,колея
количества,количества
количество,количество
коллегия,коллегiя
коллекция,коллекцiя
коллоквиум,коллоквiумъ
колобок,колобокъ
коловорот,коловоротъ
колода,колода
колодец,колодецъ
колокольня,колокольня
коломенский,коломенскiй
колония,колонiя
колонна,колонна
колоннада,колоннада
колос,колосъ (соцвѣтiе)
колосс,колоссъ (статуя
колотить,колотить
колоть,колоть
колпак,колпакъ
колыбель,колыбель
колымага,колымага
колыхать,колыхать
колю,колю
коляда,коляда
коляска,коляска
команда,команда
комар,комаръ
комбинация,комбинація
комедия,комедiя
комендант,комендантъ
комета,комета
комиссар,комиссаръ и коммиссаръ
комиссия,комиссiя
комитет,комитетъ
комментарий,комментарiй
коммерция,коммерцiя
компания,компанiя (общество)
компаньон,компаньонъ и компанiонъ
компас,компасъ
компот,кампотъ
компресс,компрессъ
компрометировать,компрометировать
компромисс,компромиссъ
кому-нибудь,кому-нибудь
кому-то,кому-то
комфорт,комфортъ
конверт,конвертъ
конвой,конвой
конгресс,конгрессъ
кондитер,кондитеръ и кандитеръ
кондуктор,кондукторъ
конец,конецъ
конечно,конечно
конкретный,конкретный
конкуренция,конкуренцiя
конница,конница
конопатить,конопатить
конопляный,конопляный
конский,конскій
Константин,Константинъ
контора,контора
контрабанда,контрабанда
контрабас,контрабасъ
контракт,контрактъ
контрамарка,контрамарка
контроль,контроль
конура,конура и канура
конфедерация,конфедерацiя
конференция,конференцiя
конфета,конфета
конфиденциально,конфиденцiально
конфискация,конфискація
конфорка,конфорка
конфуз,конфузъ
концессия,концессiя
кончено,кончено
кончина,кончина
конь,конь
копейка,копейка и копѣйка
копия,копія
коптеть,коптѣть
копье,копье
корабль,корабль
коралл,кораллъ
кордон,кордонъ
корень,корень
корзина,корзина
коридор,коридоръ
Коринф,Коринѳъ
корифей,корифей
коричневый,коричневый
кормёжка,кормёжка
корнать,корнать
корнет,корнетъ
коробить,коробить
корова,корова
король,король
коромысло,коромысло
коронация,коронацiя
короста,короста
коростель,коростель
короткий,короткій
корпеть,корпѣть
корпорация,корпорацiя
корректно,корректно
корреспонденция,корреспонденцiя
корсаж,корсажъ
корсет,корсетъ
кортеж,кортежъ
корточки,корточки
корчу,корчу
корысть,корысть
корыто,корыто
коряга,коряга
косить,косить
коснуться,коснуться
костёр,костёръ
Кострома,Кострома
котёл,котёлъ
котомка,котомка
который,который
кофе,кофе и кофей
кофта,кофта
коффициент,коффицiентъ
кочан,кочанъ
кочевать,кочевать
кочегар,кочегаръ
кочерга,кочерга
кочерыжка,кочерыжка
кошачий,кошачiй и кошечiй
кошель,кошель
кощей,кощей
краденый,краденый
краешек,краешекъ
крайне,крайне
крапива,крапива и кропива
красивый,красивый
красноречие,краснорѣчiе
кредит,кредитъ
крейсер,крейсеръ
кремень,кремень
крепкий,крѣпкiй
крепко,крѣпко
крепко-накрепко,крѣпко-на-крѣпко
крепостной,крѣпостной
крепость,крѣпость
кресло,кресло
крест,крестъ
крестец,крестецъ
крёстный,крёстный
кречет,кречетъ
крещендо,крешендо
кристалл,кристаллъ
кровообращение,кровообращенiе
кровопийца,кровопiйца
кровотечение,кровотеченiе
кроме,кромѣ
кромешный,кромѣшный и кромѣшнiй
кроткий,кроткій
крошево,крошево и крошиво
кружево,кружево и круживо
крупный,крупный
крыжовник,крыжовникъ
крыльцо,крыльцо
крынка и кринка,крынка и кринка
крючок,крючокъ
кряду,къ ряду
кряхтеть,кряхтѣть и крехтѣть
кстати,кстати
кто-другой,кто-другой
кто-то,кто-то
кубарем,кубаремъ
куда-ж,куда-жъ
куда-то,куда-то
Кудрявцев,Кудрявцевъ
Кузьма,Кузьма и Козьма
кулачок,кулачокъ
кулебяка,кулебяка
кумир,кумиръ
кунсткамера,кунсткамера
купель,купель и купѣль
купец,купецъ
курево,курево и куриво
куролесить,куролесить
курьёзный,курьёзный и курiозный
курьер,курьеръ
кутерьма,кутерьма
кухня,кухня
кучер,кучеръ
кушанье,кушанье
Лавра,Лавра
Лаврентий,Лаврентiй
лавры,лавры
ладан,ладанъ
ладонь,ладонь и лодонь
ладья,ладья
лажу,лазю
лазарет,лазаретъ
лазить,лазить и лазать
лазоревый,лазоревый и лазуревый
лазутчик,лазутчикъ
лакать,локать
лакей,лакей
лампада,лампада
ландшафт,ландшафтъ
лапта,лапта
Лариса,Лариса (имя женщины)
Ларисса,Ларисса (название города)
ласточка,ласточка
латинский,латинскій
лафет,лафетъ
лачуга,лачуга
лаю,лаю
лебеда,лебеда
лев,левъ
левкой,левкой
левша,лѣвша
левый,лѣвый
легавый,легавый и лягавый
легенда,легенда
легион,легiонъ
легкий,легкiй
лёгонький,лёгонькiй
легче,легче
леденеть,леденѣть и ледянѣть
леденец,леденецъ и ледянецъ
ледяной,ледяной
ледящий,ледящiй и лядящiй
лежать,лежать
лежебока,лежебока
лежмя,лежмя
лезвие,лезвiе и лезвеё
лезть,лѣзть
лейб-гвардия,лейбъ-гвардiя
лекало,лекало
лекарство,лѣкарство
лекарь,лѣкарь
лексикон,лексиконъ
лектриса,лектрисса
лекция,лекцiя
лелеять,лелѣять
ленивец,лѣнивецъ
ленивый,лѣнивый
лениться,лѣниться
ленность,лѣнность
лентяй,лѣнтяй
лень,лѣнь
лепесток,лепесток
лепетать,лепетать
лепить,лѣпить
лепка,лѣпка
лепнина,лѣпнина
лепной,лѣпной
лепота,лѣпота
лес,лѣсъ
леса (леска),леса (леска)
лесенка,лѣсенка
лесистый,лѣсистый
леска,леска
лесник,лѣсникъ
лесной,лѣсной
лесовик,лѣсовикъ
лествица,лѣствица
лестница,лѣстница
лесть,лесть
лёт,лётъ
летать,летать
лететь,летѣть
летний,лѣтнiй
лето,лѣто
летоисчисление,лѣтоисчисленiе
летописец,лѣтописецъ
летопись,лѣтопись
летящий,летящій
лечить,лѣчить
лечь,лечь
леший,лѣшiй
лже-,лже- первая часть сложных словъ
лжешь,лжешь
ли,ли - частица
либретто,либретто
Лизанька,Лизанька и Лизынька
лилейный,лилейный
линейка,линейка
линия,линія
линованный,линёванный
линовать,линевать
липкий,липкій
лисий,лисичiй и лисячiй
лисонька,лисанька и лисынька
лиственница,лиственница
лиственный,лиственный
литература,литература
лиходей,лиходѣй
лихорадка,лихорадка
лицемерить,лицемѣрить
лицо,лицо
лишь,лишь
логарифм,логариѳмъ
лодыжка,лодыжка
ложбина,ложбина
ложиться,ложиться
лопасть,лопасть и лопость
лопата,лопата
лопух,лопухъ
лорнет,лорнетъ
лоскут,лоскутъ
лосось,лосось и лососъ
лотерея,лотерея
лохань,лохань и лахань
лохмотья,лохмотья
лощеная,лощеная
лощина,лощина
лужицкий,лужицкій
Лукинична,Лукинична
лучезарный,лучезарный
лучше,лучше
лучший,лучшiй
Людмила,Людмила
ляг,лягъ
лягать,лягать
лягушка-квакушка,лягушка-квакушка
лядащий,лядащiй - устар. - плохой
ляжка,ляжка
магазин,магазинъ
магарыч,магарычъ и могорычъ
Магеллан,Магелланъ
магнезия,магнезiя
мадера,мадера
Мадрид,Мадридъ
мадьяр,мадьяръ
мазанка,мазанка
майор,майоръ и маiоръ
майорат,майоратъ
макароны,макароны
макать,макать
Максимильян,Максимильянъ
макушка,макушка
Маланья,Маланья и Меланья
малахит,малахитъ
маленький,маленькiй
малина,малина
маловато,маловато
малозначащий,малозначащiй
малолетний,малолѣтній
мало-мальски,мало-мальски
мало-по-малу,мало-по-малу
Малороссия,Малороссiя
малороссиянин,малороссiянинъ
малоупотребимый,малоупотребимый
мальчишка,мальчишка
малярия,малярiя
малярия,маляръ
маменька,маменька
мамона,мамона
мамонт,мамонтъ
манёвр,манёвръ
манеж,манежъ
манифестация,манифестацiя
манифестация,манифестъ
манна,манна
мантия,мантія
мануфактура,мануфактура
марафон,мараѳонъ
марево,марево
март,мартъ
Мартын,Мартынъ и Мартинъ
Марфа,Марѳа и Марта
маскарад,маскарадъ
масленица,масленица и масляница
масленый,масленый - пропитанный масломъ - масленая каша
маслице,маслице
масляный,масляный - сдѣланъ изъ масла
масон,масонъ
масса,масса
массивный,массивный
мастер,мастеръ
масштаб,масштабъ и маштабъ
Матвей,Матвѣй
материал,матерiалъ
материальный,матерiальный
матрац,матрацъ
матрос,матросъ
Матфей,Матѳей
махнем-ко,махнемъ-ко
мачеха,мачеха и мачиха
Машенька,Машенька
машина,машина
машинист,машинистъ
маэстро,маэстро
маятник,маятникъ
маяться,маяться
мгновенье,мгновенье
мёд,мёдъ
медальон,медальонъ и медалiонъ
медвёдка,медвѣдка
медведь,медвѣдь
медвежий,медвѣжiй
медик,медикъ
медицина,медицина
медлить,медлить
медный,мѣдный
медь,мѣдь
медяный,мѣдяный
межа,межа
междометие,междометiе
междоусобие,междоусобiе
между,между
между прочим,между прочимъ
междуцарствие,междуцарствiе
мезонин,мезанинъ
мел,мѣлъ - известнякъ
мёл,мёлъ - подметалъ
мелить,мѣлить (красить мѣломъ)
мелить,мелить (размалывать)
мелкий,мелкiй
меловой,мѣловой
мелодия,мелодiя
мель,мель
мелькать,мелькатъ
мельком,мелькомъ
мельник,мельникъ
мельница,мельница
менее,менѣе
менуэт,менуэтъ
меньше,меньше
меньший,меньшiй и меньшой
меньшинство,меньшинство
меняла,мѣняла
менять,мѣнять
мера,мѣра
мереть,(у
мерещиться,мерещиться
мерзкий,мерзкiй
мёрзнуть,мёрзнуть
меридиан,мередiанъ
мерить,мѣрить
меркнуть,меркнуть
Меркурий,Меркурiй
мерный,мѣрный
мероприятие,мѣропрiятiе
мертвец,мертвецъ
мертвый,мертвый
мертвый,мертвый
мерцать,мерцать
месить,мѣсить
месса,месса
мессия,мессiя
местечко,мѣстечко
мести,мести (подметать)
местность,мѣстность
местный,мѣстный
место,мѣсто
местожительство,мѣстожительство
местоимение,мѣстоименiе
месть,месть
месяц,мѣсяцъ
мета,мѣта
металл,металлъ
метать,метать
метель,метель и мятель
метеорология,метеорологiя
меткий,мѣткiй - не тотъ
методика,методика
метрополия,метрополiя
мету,мету
Мефодий,Меѳодiй
меха,мѣха
механик,механикъ
меч,мечъ
меченый,мѣченый
мечта,мечта
мечу,мечу (бросаю)
мечу,мѣчу (цѣлю
мешать,мѣшать
мешкать,мѣшкать
мешок,мѣшокъ
мещанин,мѣщанинъ
мигрень,мигрень
мизантроп,мизантропъ
мизинец,мизинецъ
микроскоп,микроскопъ
микстура,микстура
милиция,милицiя
миллиард,миллiардъ
миллион,миллiонъ
милосердный,милосердный и милосердый
милостив,милостивъ и милостливъ
минерал,минералъ
миниатюра,минiатюра
миновать,миновать
мир,мiръ - свѣтъ
мираж,миражъ
мирно,мирно
миро,миро и м&#1141;ро 
мировой,мiровой - на весь мiръ
мировой,мировой <судья> - тотъ
миропомазание,миропомазанiе и м&#1141;ропомазанiе
мирской,мiрской
мирянин,мiрянинъ
миссионер,миссіонеръ
мистификация,мистификацiя
миф,миѳъ
мифология,миѳологiя
Михаил,Михаилъ
млеть,млѣть
мне,мнѣ
мнение,мнѣнiе
многий,многій
могила,могила
мог ли,могъ-ли
могучее,могучее
модель,модель
мое,мое
может быть,можетъ-быть
может статься,можетъ-статься
можжевельник,можжевельникъ
мозаика,мозаика
мозоль,мозоль
Моисей,Моисей
Мокей,Мокѣй
молебен,молебенъ
молельня,молельня
молиться,молиться
молния,молнія
молодёжь,молодёжь
молодой,молодой
моложе,моложе
молоко,молоко
молоть,молоть
молотьба,молотьба
молочный,молочный
мольберт,мольбертъ
молю,молю
момент,моментъ
монастырь,монастырь
монах,монахъ
монета,монета
монисто,монисто
монограмма,монограмма
монография,монографiя
монолог,монологъ
монополия,монополiя
монотонный,монотонный
монумент,монументъ
мореплаватель,мореплаватель
мороженое,мороженое
мороз,морозъ
моросить,моросить
морочить,морочить
морошка,морошка
морфий,морфiй
морфология,морфологiя
Москва,Москва
московский,московскiй
мохнатый,мохнатый
моцион,моцiонъ
мочалка,мочалка
мошенник,мошенникъ
мошна,мошна
мудрее,мудрѣе
мудрёный,мудрёный
мужичок,мужичокъ
мужнин,мужнинъ
мужчина,мужчина
мундштук,мундштукъ и муштукъ
муравей,муравей
муссон,муссонъ
мусульманин,мусульманинъ
муфта,муфта
муфтий,муфтiй
мучение,мученіе
мученик,мученикъ
мучу,мучу
мыслете,мыслѣте (названiе буквы)
мыслите,мыслите (глаголъ)
мышонок,мышонокъ
мягкий,мягкiй
мякина,мякина
мякиш,мякишъ
мяконький или мягонький,мяконькiй или мягонькiй
мякоть,мякоть
набалдашник,набалдачникъ
набекрень,набекрень и на бекрень
набело,набѣло
наберенник,наберенникъ
набирать,набирать
набок,на бокъ
навага,навага
наваждение,наважденiе
навек,навѣкъ
наверно,навѣрно
наверняка,наверняка
наверх,наверхъ
навес,навѣсъ
навеселе,навеселѣ
навешанный,навѣшанный (отъ навѣшать)
навзничь,навзничь
навзрыд,навзрыдъ
навигация,навигацiя
на время,на время
навряд,наврядъ
навсегда,навсегда
навстречу,навстрѣчу и на встрѣчу
навыворот,навыворотъ
навыкате,на выкатѣ
навылет,на вылетъ
навытяжку,на вытяжку
навязчивый,навязчивый
наглухо,наглухо
наголову,наголову
наготове,наготовѣ
надвое,надвое
наддверие,наддверiе
надевать,надѣвать
надёвывал,надѣвывалъ
надёжа,надёжа
надежда,надежда
надёжный,надёжный
надел,надѣлъ
наделит,надѣлитъ
надеть,надѣть
надеяться,надѣяться
наджелащий,надлежащiй
надменный,надменный
на днях,надняхъ
надобно,надобно
надобность,надобность
надоест,надоѣстъ
надолго,надолго
надсмотрщик,надсмотрщикъ
наедине,наединѣ
наесться,наѣсться
назавтра,назавтра (нарѣчiе - назавтра отъ оказался больнымъ)
назад,назадъ
название,названiе
названный,названный (прич. - сынъ
наземь,наземь
назло,назло
наиболее,наиболѣе
наизнанку,наизнанку
наизусть,наизусть
наименование,наименованіе
наискось,наискось
найденный,найденный
найти,найти
наказание,наказаніе
накануне,наканунѣ
наконец,наконецъ (нарѣчiе)
накрепко,накрѣпко
накрест,накрестъ (нарѣчiе)
налево,налѣво
налегке,налегкѣ
на лету,на лету и налету
налицо,налицо
намедни,намедни
намекать,намекать
намерение,намѣренiе
на миг,на мигъ
наоборот,наоборотъ
на обороте,на оборотѣ
наобум,наобумъ
наотмашь,наотмашь
наотрез,наотрѣзъ
наперво,наперво
наперебой,на перебой
наперёд,наперёдъ
наперекор,наперекоръ
наперечёт,наперечётъ
наперсник,наперсникъ
наповал,наповалъ
наподобие,наподобiе
напоказ,напоказъ
направо,направо
напрасно,напрасно
например,напримѣръ (нарѣчiе)
напрокат,напрокатъ
напролет,на пролетъ
напролёт,напролётъ
напролом,напроломъ
напропалую,напропалую
напротив,напротивъ
напрямик,напрямикъ
наравне,наравнѣ
нараспашку,нараспашку
нараспев,нараспѣвъ
нарасхват,нарасхватъ
нарезать,нарѣзать
нарекание,нареканiе
наречённый,наречённый
наречие,нарѣчiе
нарицательный,нарицательный
нарочно,нарочно
наряду,на ряду
наряду,на ряду
наседка,насѣдка
насекомое,насѣкомое
насест,насѣстъ и насѣсть
насилу,насилу
насколько,насколько (нарѣчiе)
наскоро,наскоро
наслаждение,наслажденіе
наследство,наслѣдство
насмерть,насмерть (нарѣчiе - драться насмерть)
насмех,насмѣхъ
наспех,наспѣхъ
настежь,настежь
настолько,настолько (нарѣчiе)
настораживать,насторраживать и настороживать
настороже,насторожѣ
настоящий,настоящій
настраивать,настраивать и настроивать
настрого,настрого
насухо,насухо
насчёт,насчётъ (предлогъ - говорили на счётъ меня)
натощак,натощакъ
наугад,наугадъ
наудачу,наудачу
наушник,наушникъ
Нафанаил,Наѳанаилъ
находчивость,находчивость
начало,начало
начальник,начальникъ
начерно,начерно
начертание,начертаніе
начисто,начисто
начистоту,на чистоту
наше,наше
наяву,наяву
небо,небо (сводъ небесный)
небольшой,небольшой
небось,небось
невдалеке,невдалекѣ
невдогад,невдогадъ
невдомёк,невдомёкъ
неведение,невѣдѣнiе
неведжа,невѣджа (незнающiй)
невежа,невѣжа (невѣжливый)
невежливо,невѣжливо
неверие,невѣрiе
неверно,невѣрно
невеста,невѣста
невестка,невѣстка
невзначай,невзначай
невидаль,невидаль
невинный,невинный
невмоготу,невмоготу
невмочь,невмочь
неволе,неволя
невпопад,невпопадъ
невредимый,невредимый
невтерпеж,невтерпежъ
невыгодный,невыгодный
нега,нѣга
негде,нѣгдѣ (въ значенiи кое-гдѣ)
него,него
негодяй,негодяй
негоциант,негоціантъ
недавнее,недавнее
недалеёкий,недалёкiй
недалеко,недалеко
недаром,не даромъ
неделя,недѣля
недоброжелательный,недоброжелательный
недоверие,недовѣріе
недоволен,недоволенъ
недолго,недолго
недоросль,недоросль
недостаток,недостатокъ
недостойный,недостойный
недосуг,недосугъ
недоумение,недоумѣніе
недра,нѣдра
недруг,недругъ
неё,неё
нежели,нежели
неженка,нѣженка
нежиться,нѣжиться
нежнее,нѣжнѣе
нежничать,нѣжничать
нежный,нѣжный
независимость,независимость
незадолго,незадолго
незаметно,незамѣтно
